ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001737673,,,Телефонный центр,4,502739,10000011206,,2013-11-12 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-11-11 14:22:29 UTC,
10001737673,,,Телефонный центр,4,502740,10000011206,,2013-11-12 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-11-11 14:22:29 UTC,
10001744097,,,Телефонный центр,4,502769,10000011206,,2013-11-12 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-11-11 14:36:21 UTC,
10001744097,,,Телефонный центр,4,502770,10000011206,,2013-11-12 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-11-11 14:36:21 UTC,
10001744097,,,Телефонный центр,4,502771,10000011206,,2013-11-12 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2013-11-11 14:36:22 UTC,
10001744097,,,Телефонный центр,4,502772,10000011206,,2013-11-12 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2013-11-11 14:36:22 UTC,
10001744097,,,Телефонный центр,4,502773,10000011206,,2013-11-12 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-11-11 14:36:22 UTC,
10001737753,,,Телефонный центр,4,502883,10000011206,,2013-11-12 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-11-11 14:36:38 UTC,
10001737753,,,Телефонный центр,4,502884,10000011206,,2013-11-12 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-11-11 14:36:38 UTC,
10001737753,,,Телефонный центр,4,502885,10000011206,,2013-11-12 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2013-11-11 14:36:38 UTC,
10001737753,,,Телефонный центр,4,502886,10000011206,,2013-11-12 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2013-11-11 14:36:38 UTC,
10001737753,,,Телефонный центр,4,502887,10000011206,,2013-11-12 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-11-11 14:36:39 UTC,
10001737737,,,Телефонный центр,4,502913,10000013633,,2013-11-12 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2013-11-11 14:52:31 UTC,
10001737737,,,Телефонный центр,4,502914,10000013633,,2013-11-12 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,3,баллы,2013-11-11 14:52:31 UTC,
10001737737,,,Телефонный центр,4,502915,10000013633,,2013-11-12 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-11-11 14:52:31 UTC,
10001737737,,,Телефонный центр,4,502916,10000013633,,2013-11-12 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2013-11-11 14:52:31 UTC,
10001737737,,,Телефонный центр,4,502917,10000013633,,2013-11-12 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,2,баллы,2013-11-11 14:52:31 UTC,
10002395179,,,Телефонный центр,4,502973,10000011206,,2013-11-13 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-11-11 14:52:39 UTC,
10002395179,,,Телефонный центр,4,502974,10000011206,,2013-11-13 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-11-11 14:52:40 UTC,
10002395179,,,Телефонный центр,4,502975,10000011206,,2013-11-13 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2013-11-11 14:52:40 UTC,
10002395179,,,Телефонный центр,4,502976,10000011206,,2013-11-13 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2013-11-11 14:52:40 UTC,
10002395179,,,Телефонный центр,4,502977,10000011206,,2013-11-13 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,4,баллы,2013-11-11 14:52:40 UTC,
10001753022,,,Телефонный центр,4,502979,10000011206,,2013-11-12 00:00:00 UTC,9,Время предоставления государственной услуги,3,баллы,2013-11-11 14:52:40 UTC,
10001753022,,,Телефонный центр,4,502980,10000011206,,2013-11-12 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,3,баллы,2013-11-11 14:52:40 UTC,
10001753022,,,Телефонный центр,4,502981,10000011206,,2013-11-12 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",4,баллы,2013-11-11 14:52:41 UTC,
10001753022,,,Телефонный центр,4,502982,10000011206,,2013-11-12 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",3,баллы,2013-11-11 14:52:41 UTC,
10001753022,,,Телефонный центр,4,502983,10000011206,,2013-11-12 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,2,баллы,2013-11-11 14:52:41 UTC,
